Ticker,Name,Category,YTD,4W,1Y,3Y,5Y,10Y,Yield,Rating,Neg. Yr
ABQYX,AB Total Return Bond Portfolio;Advisor,,-inf,-inf,-0.18,5.19,3.91,3.5,-inf,-1,False
ABQUX,AB Total Return Bond Portfolio;A,,-inf,-inf,-0.51,4.9,3.64,3.23,-inf,-1,False
ABQCX,AB Total Return Bond Portfolio;C,,-inf,-inf,-1.18,4.13,2.88,2.48,-inf,-1,False
ABQIX,AB Total Return Bond Portfolio;I,,-inf,-inf,-0.27,5.18,3.91,3.49,-inf,-1,False
ABQKX,AB Total Return Bond Portfolio;K,,-inf,-inf,-0.51,4.89,3.64,3.24,-inf,-1,False
ABQRX,AB Total Return Bond Portfolio;R,,-inf,-inf,-0.77,4.63,3.38,2.98,-inf,-1,False
WPSGX,AB Concentrated Growth Fund;Advisor,Large Growth,24.77,-inf,29.59,31.39,21.67,17.96,-inf,3,False
ABYEX,AB Emerging Markets Multi-Asset Portfolio;Adv,Diversified Emerging Mkts,-1.19,-inf,0.28,10.16,6.65,4.38,-inf,3,False
ABAEX,AB Emerging Markets Multi-Asset Portfolio;A,Diversified Emerging Mkts,-1.46,-inf,0.03,9.86,6.39,4.1,-inf,3,False
ABCEX,AB Emerging Markets Multi-Asset Portfolio;C,,-inf,-inf,-0.75,9.07,5.59,3.34,-inf,-1,False
ABIEX,AB Emerging Markets Multi-Asset Portfolio;I,Diversified Emerging Mkts,-1.29,-inf,0.3,10.17,6.65,4.37,-inf,3,False
ABKEX,AB Emerging Markets Multi-Asset Portfolio;K,,-inf,-inf,-0.01,9.86,6.38,4.11,-inf,-1,False
ABREX,AB Emerging Markets Multi-Asset Portfolio;R,,-inf,-inf,-0.23,9.58,6.14,3.85,-inf,-1,False
AUUAX,AB Select US Equity Portfolio;A,Large Blend,25.29,-inf,29.33,25.11,16.74,15.41,-inf,3,False
AUUCX,AB Select US Equity Portfolio;C,Large Blend,24.45,-inf,28.34,24.2,15.86,14.57,-inf,3,False
AUUKX,AB Select US Equity Portfolio;K,Large Blend,25.25,-inf,29.29,25.09,16.67,15.35,-inf,3,False
AUURX,AB Select US Equity Portfolio;R,Large Blend,24.89,-inf,28.94,24.75,16.39,15.09,-inf,3,False
ADGAX,AB Core Opportunities Fund;A,Large Blend,19.18,-inf,22.43,21.88,15.5,15.26,-inf,3,False
ADGCX,AB Core Opportunities Fund;C,Large Blend,18.38,-inf,21.54,20.99,14.65,14.42,-inf,3,False
ADGKX,AB Core Opportunities Fund;K,Large Blend,19.1,-inf,22.42,21.84,15.47,15.26,-inf,3,False
ADGRX,AB Core Opportunities Fund;R,Large Blend,18.84,-inf,22.09,21.52,15.17,14.97,-inf,3,False
ACISX,AB Corporate Income Shares,,-inf,-inf,-0.19,8.74,5.96,5.23,-inf,-1,False
CSHTX,AB Taxable Multi-Sector Income Shares,Short-Term Bond,0.28,-inf,0.35,2.87,2.4,2.17,-inf,3,False
CHCLX,AB Discovery Growth Fund;A,Mid-Cap Growth,9.5,-inf,6.91,32.06,21.8,16.61,-inf,3,False
CHCYX,AB Discovery Growth Fund;Adv,Mid-Cap Growth,9.76,-inf,7.16,32.38,22.1,16.88,-inf,3,False
CHCCX,AB Discovery Growth Fund;C,Mid-Cap Growth,8.62,-inf,6.03,31.04,20.87,15.71,-inf,3,False
CHCIX,AB Discovery Growth Fund;I,Mid-Cap Growth,9.71,-inf,7.13,32.36,22.04,16.9,-inf,3,False
CHCKX,AB Discovery Growth Fund;K,Mid-Cap Growth,9.39,-inf,6.67,31.87,21.63,16.45,-inf,3,False
CHCRX,AB Discovery Growth Fund;R,Mid-Cap Growth,9.1,-inf,6.48,31.54,21.28,16.13,-inf,3,False
AUIYX,AB Equity Income Fund;Advisor,Large Value,19.79,-inf,24.02,17.73,11.56,11.85,-inf,3,False
AUIAX,AB Equity Income Fund;A,Large Value,19.56,-inf,23.76,17.45,11.29,11.55,-inf,3,False
AUICX,AB Equity Income Fund;C,Large Value,18.68,-inf,22.79,16.57,10.45,10.74,-inf,3,False
AUIIX,AB Equity Income Fund;I,Large Value,19.76,-inf,24.0,17.69,11.53,11.84,-inf,3,False
AUIKX,AB Equity Income Fund;K,Large Value,19.39,-inf,23.61,17.31,11.16,11.47,-inf,3,False
AUIRX,AB Equity Income Fund;R,Large Value,19.08,-inf,23.17,16.93,10.82,11.13,-inf,3,False
ANAYX,AB Global Bond Fund;Adv,,-inf,-inf,-0.19,4.09,3.17,3.45,-inf,-1,False
ANAGX,AB Global Bond Fund;A,,-inf,-inf,-0.56,3.78,2.88,3.17,-inf,-1,False
ANACX,AB Global Bond Fund;C,,-inf,-inf,-1.31,3.03,2.1,2.41,-inf,-1,False
ANAIX,AB Global Bond Fund;I,,-inf,-inf,-0.18,4.08,3.17,3.47,-inf,-1,False
ANAKX,AB Global Bond Fund;K,,-inf,-inf,-0.68,3.68,2.76,3.1,-inf,-1,False
ANARX,AB Global Bond Fund;R,,-inf,-inf,-0.98,3.36,2.47,2.76,-inf,-1,False
AREAX,AB Global Real Estate Investment Fund;A,Global Real Estate,19.04,-inf,24.61,12.05,9.0,9.3,-inf,3,False
ARECX,AB Global Real Estate Investment Fund;C,Global Real Estate,18.14,-inf,21.69,10.59,7.83,8.31,-inf,3,False
ARRKX,AB Global Real Estate Investment Fund;K,Global Real Estate,18.99,-inf,24.6,12.04,8.98,9.3,-inf,3,False
ARRRX,AB Global Real Estate Investment Fund;R,Global Real Estate,18.65,-inf,24.2,11.67,8.64,8.97,-inf,3,False
CABNX,AB Global Risk Allocation Fund;A,Tactical Allocation,8.97,-inf,11.83,12.71,7.7,6.45,-inf,3,False
CBACX,AB Global Risk Allocation Fund;C,Tactical Allocation,8.19,-inf,10.95,11.83,6.88,5.66,-inf,3,False
CBSKX,AB Global Risk Allocation Fund;K,Tactical Allocation,8.89,-inf,11.73,12.64,7.65,6.43,-inf,3,False
CBSRX,AB Global Risk Allocation Fund;R,Tactical Allocation,8.56,-inf,11.41,12.3,7.32,6.1,-inf,3,False
AGDYX,AB High Income Fund;Advisor,High Yield Bond,3.78,-inf,5.61,7.22,4.82,6.37,-inf,3,False
AGDAX,AB High Income Fund;A,High Yield Bond,3.53,-inf,5.23,6.91,4.53,6.08,-inf,3,False
AGDCX,AB High Income Fund;C,High Yield Bond,2.64,-inf,4.36,6.07,3.7,5.24,-inf,2,False
AGDIX,AB High Income Fund;I,High Yield Bond,3.91,-inf,5.61,7.2,4.84,6.41,-inf,3,False
AGDKX,AB High Income Fund;K,High Yield Bond,3.59,-inf,5.25,6.84,4.47,6.04,-inf,2,False
AGDRX,AB High Income Fund;R,High Yield Bond,3.15,-inf,4.91,6.54,4.13,5.7,-inf,2,False
AAZCX,AB Arizona Portfolio;C,Muni Single State Interm,1.6,-inf,1.64,3.39,2.94,2.72,-inf,3,False
AMACX,AB Massachusetts Portfolio;C,Muni Massachusetts,1.85,-inf,1.87,3.96,2.98,2.61,-inf,2,False
AMNAX,AB Minnesota Portfolio;A,Muni Minnesota,1.66,-inf,1.74,4.25,3.55,3.12,-inf,3,False
AMNCX,AB Minnesota Portfolio;C,Muni Minnesota,0.96,-inf,1.07,3.5,2.79,2.37,-inf,2,False
ANJAX,AB New Jersey Portfolio;A,Muni New Jersey,2.82,-inf,3.14,4.97,4.45,3.66,-inf,3,False
ANJCX,AB New Jersey Portfolio;C,Muni New Jersey,2.1,-inf,2.26,4.15,3.64,2.9,-inf,2,False
AOHAX,AB Ohio Portfolio;A,Muni Ohio,2.56,-inf,2.64,4.58,3.93,3.13,-inf,3,False
AOHCX,AB Ohio Portfolio;C,Muni Ohio,1.84,-inf,1.96,3.83,3.15,2.38,-inf,2,False
APAAX,AB Pennsylvania Portfolio;A,Muni Pennsylvania,2.88,-inf,3.09,4.9,4.11,3.5,-inf,3,False
APACX,AB Pennsylvania Portfolio;C,Muni Pennsylvania,2.06,-inf,2.21,4.1,3.33,2.74,-inf,2,False
AVACX,AB Virginia Portfolio;C,Muni Single State Interm,1.73,-inf,1.75,3.85,3.1,2.68,-inf,3,False
ACACX,AB California Portfolio;C,Muni California Intermediate,1.43,-inf,1.45,3.83,3.23,2.94,-inf,3,False
ABTFX,AB High Income Municipal Portfolio;C,High Yield Muni,5.33,-inf,5.55,6.42,5.72,5.38,-inf,2,False
ALNCX,AB National Portfolio;C,Muni National Interm,1.84,-inf,1.94,4.03,3.37,2.98,-inf,3,False
ANYCX,AB New York Portfolio;C,Muni New York Intermediate,2.68,-inf,2.8,3.86,3.19,2.5,-inf,3,False
ABWYX,AB All Market Total Return Portfolio;Advisor,Allocation--50% to 70% Equity,10.37,-inf,12.84,12.28,7.54,7.4,-inf,2,False
ABWAX,AB All Market Total Return Portfolio;A,Allocation--50% to 70% Equity,10.16,-inf,12.58,12.01,7.28,7.12,-inf,2,False
ABWCX,AB All Market Total Return Portfolio;C,Allocation--50% to 70% Equity,9.37,-inf,11.73,11.15,6.46,6.33,-inf,1,False
ABWIX,AB All Market Total Return Portfolio;I,Allocation--50% to 70% Equity,10.39,-inf,12.83,12.25,7.51,7.38,-inf,2,False
ABWKX,AB All Market Total Return Portfolio;K,Allocation--50% to 70% Equity,10.01,-inf,12.36,11.88,7.16,7.02,-inf,2,False
ABWRX,AB All Market Total Return Portfolio;R,Allocation--50% to 70% Equity,9.68,-inf,12.11,11.54,6.82,6.69,-inf,1,False
AGRCX,AB Growth Fund;C,Large Growth,16.12,-inf,19.4,29.53,22.72,17.92,-inf,3,False
ABPYX,AB Sustainable Thematic Balanced Portfolio;Advisor,Allocation--30% to 50% Equity,7.46,-inf,8.19,9.02,5.73,5.02,-inf,2,False
ABPAX,AB Sustainable Thematic Balanced Portfolio;A,Allocation--30% to 50% Equity,7.26,-inf,7.98,8.77,5.48,4.75,-inf,2,False
ABPCX,AB Sustainable Thematic Balanced Portfolio;C,Allocation--30% to 50% Equity,6.45,-inf,7.09,7.92,4.66,3.96,-inf,1,False
APWIX,AB Sustainable Thematic Balanced Portfolio;I,Allocation--30% to 50% Equity,7.38,-inf,8.18,9.02,5.69,4.99,-inf,2,False
APWKX,AB Sustainable Thematic Balanced Portfolio;K,Allocation--30% to 50% Equity,7.08,-inf,7.8,8.65,5.36,4.66,-inf,2,False
APPRX,AB Sustainable Thematic Balanced Portfolio;R,Allocation--30% to 50% Equity,6.77,-inf,7.48,8.32,5.04,4.33,-inf,1,False
AGIYX,AB Tax-Managed All Market Income Portfolio;Advisor,Allocation--30% to 50% Equity,7.25,-inf,8.72,8.3,5.97,5.57,-inf,2,False
AGIAX,AB Tax-Managed All Market Income Portfolio;A,Allocation--30% to 50% Equity,7.02,-inf,8.37,8.04,5.7,5.28,-inf,1,False
AGICX,AB Tax-Managed All Market Income Portfolio;C,Allocation--30% to 50% Equity,6.31,-inf,7.56,7.22,4.91,4.51,-inf,1,False
ATWYX,AB Tax-Managed Wealth Appreciation Strategy;Advisor,World Large-Stock Blend,16.66,-inf,19.76,19.81,13.03,11.55,-inf,3,False
ATWAX,AB Tax-Managed Wealth Appreciation Strategy;A,World Large-Stock Blend,16.39,-inf,19.44,19.49,12.73,11.25,-inf,3,False
ATWCX,AB Tax-Managed Wealth Appreciation Strategy;C,World Large-Stock Blend,15.6,-inf,18.59,18.6,11.89,10.44,-inf,3,False
AWAYX,AB Wealth Appreciation Strategy;Advisor,World Large-Stock Blend,16.88,-inf,19.86,19.98,12.92,11.1,-inf,3,False
AWAAX,AB Wealth Appreciation Strategy;A,World Large-Stock Blend,16.6,-inf,19.55,19.68,12.64,10.81,-inf,3,False
AWACX,AB Wealth Appreciation Strategy;C,World Large-Stock Blend,15.79,-inf,18.65,18.78,11.79,9.99,-inf,3,False
AWAKX,AB Wealth Appreciation Strategy;K,World Large-Stock Blend,16.38,-inf,19.4,19.49,12.47,10.67,-inf,3,False
AWARX,AB Wealth Appreciation Strategy;R,World Large-Stock Blend,16.07,-inf,19.01,19.14,12.12,10.34,-inf,3,False
CBBCX,AB Relative Value Fund;C,Large Value,20.35,-inf,24.52,16.68,10.82,12.29,-inf,3,False
ATEZX,Symbol Lookup,,-inf,-inf,0,0,0,0,-inf,-1,False
AWPYX,AB Sustainable International Thematic Fund;Adv,Foreign Large Growth,5.6,-inf,7.8,20.98,14.38,8.87,-inf,3,False
AWPAX,AB Sustainable International Thematic Fund;A,Foreign Large Growth,5.32,-inf,7.54,20.68,14.11,8.59,-inf,3,False
AWPCX,AB Sustainable International Thematic Fund;C,Foreign Large Growth,4.61,-inf,6.74,19.76,13.25,7.78,-inf,2,False
AWPIX,AB Sustainable International Thematic Fund;I,Foreign Large Growth,5.54,-inf,7.75,20.96,14.45,8.99,-inf,3,False
AWPKX,AB Sustainable International Thematic Fund;K,Foreign Large Growth,5.23,-inf,7.41,20.58,14.05,8.59,-inf,3,False
AWPRX,AB Sustainable International Thematic Fund;R,Foreign Large Growth,4.93,-inf,7.05,20.19,13.69,8.25,-inf,3,False
AWPZX,Symbol Lookup,,-inf,-inf,0,0,0,0,-inf,-1,False
ABCSX,AB Discovery Value Fund;C,Small Value,29.55,-inf,32.18,17.75,7.93,11.66,-inf,3,False
ABSRX,AB Discovery Value Fund;R,Small Value,29.87,-inf,32.58,18.15,8.3,12.07,-inf,3,False
ABIYX,AB International Value Fund;Advisor,Foreign Large Value,6.11,-inf,10.84,9.78,4.49,5.36,-inf,1,False
ABIAX,AB International Value Fund;A,Foreign Large Value,5.87,-inf,10.56,9.54,4.24,5.08,-inf,1,False
ABICX,AB International Value Fund;C,Foreign Large Value,5.15,-inf,9.74,8.67,3.43,4.3,-inf,1,False
AIVIX,AB International Value Fund;I,Foreign Large Value,6.14,-inf,10.88,9.84,4.62,5.54,-inf,1,False
AIVKX,AB International Value Fund;K,Foreign Large Value,5.82,-inf,10.54,9.52,4.25,5.14,-inf,1,False
AIVRX,AB International Value Fund;R,Foreign Large Value,5.61,-inf,10.33,9.26,3.96,4.83,-inf,1,False
ABVYX,AB Value Fund;Advisor,Large Value,22.05,-inf,26.6,15.65,7.57,10.35,-inf,2,False
ABVAX,AB Value Fund;A,Large Value,21.72,-inf,26.3,15.38,7.31,10.05,-inf,1,False
ABVCX,AB Value Fund;C,Large Value,20.87,-inf,25.4,14.48,6.5,9.25,-inf,1,False
ABVIX,AB Value Fund;I,Large Value,22.05,-inf,26.68,15.68,7.62,10.41,-inf,2,False
ABVKX,AB Value Fund;K,Large Value,21.59,-inf,26.14,15.21,7.16,9.94,-inf,1,False
ABVRX,AB Value Fund;R,Large Value,21.27,-inf,25.75,14.84,6.83,9.61,-inf,1,False
Ticker,Name,Category,YTD,4W,1Y,3Y,5Y,10Y,Yield,Rating,Neg. Yr
ABSRX,AB Discovery Value Fund;R,Small Value,30.83,-inf,32.58,18.15,8.3,12.07,-inf,3,False
ABIYX,AB International Value Fund;Advisor,Foreign Large Value,8.23,-inf,10.84,9.78,4.49,5.36,-inf,1,False
ABIAX,AB International Value Fund;A,Foreign Large Value,7.98,-inf,10.56,9.54,4.24,5.08,-inf,1,False
ABICX,AB International Value Fund;C,Foreign Large Value,7.21,-inf,9.74,8.67,3.43,4.3,-inf,1,False
AIVIX,AB International Value Fund;I,Foreign Large Value,8.28,-inf,10.88,9.84,4.62,5.54,-inf,1,False
AIVKX,AB International Value Fund;K,Foreign Large Value,7.95,-inf,10.54,9.52,4.25,5.14,-inf,1,False
AIVRX,AB International Value Fund;R,Foreign Large Value,7.74,-inf,10.33,9.26,3.96,4.83,-inf,1,False
ABVYX,AB Value Fund;Advisor,Large Value,24.37,-inf,26.6,15.65,7.57,10.35,-inf,2,False
ABVAX,AB Value Fund;A,Large Value,24.07,-inf,26.3,15.38,7.31,10.05,-inf,1,False
ABVCX,AB Value Fund;C,Large Value,20.87,-inf,25.4,14.48,6.5,9.25,-inf,1,False
ABVIX,AB Value Fund;I,Large Value,22.05,-inf,26.68,15.68,7.62,10.41,-inf,2,False
ABVKX,AB Value Fund;K,Large Value,21.59,-inf,26.14,15.21,7.16,9.94,-inf,1,False
ABVRX,AB Value Fund;R,Large Value,21.27,-inf,25.75,14.84,6.83,9.61,-inf,1,False
FAX,Aberdeen Asia-Pacific Income Fund Inc.,,-inf,-inf,N/A,N/A,N/A,N/A,-inf,-1,True
IAF,Aberdeen Australia Equity Fund Inc.,,-inf,-inf,N/A,N/A,N/A,N/A,-inf,-1,True
AEF,Aberdeen Emerging Markets Equity Income Fund Inc.,,-inf,-inf,N/A,N/A,N/A,N/A,-inf,-1,True
GOPAX,Aberdeen China A Share Equity Fund;A,,-inf,-inf,-0.72,25.37,17.81,9.03,-inf,-1,False
GOPCX,Aberdeen China A Share Equity Fund;C,,-inf,-inf,-1.38,24.52,17.01,8.27,-inf,-1,False
GOPIX,Aberdeen China A Share Equity Fund;I,,-inf,-inf,-0.38,25.78,18.2,9.36,-inf,-1,False
GOPRX,Aberdeen China A Share Equity Fund;R,,-inf,-inf,-1.07,24.96,17.42,8.65,-inf,-1,False
GOPSX,Aberdeen China A Share Equity Fund;IS,,-inf,-inf,-0.49,25.65,18.08,9.29,-inf,-1,False
ADAVX,Aberdeen Dynamic Dividend Fund;A,,-inf,-inf,16.34,16.85,11.54,N/A,-inf,-1,True
ADVDX,Aberdeen Dynamic Dividend Fund;Institutional,World Large-Stock Blend,11.55,-inf,16.63,17.02,11.88,10.17,-inf,3,False
GEGAX,Aberdeen Emerging Markets Fund;A,,-inf,-inf,-3.54,13.31,9.78,N/A,-inf,-1,True
GEGCX,Aberdeen Emerging Markets Fund;C,,-inf,-inf,-4.08,12.72,9.21,N/A,-inf,-1,True
GEMRX,Aberdeen Emerging Markets Fund;R,,-inf,-inf,-3.74,13.16,9.6,N/A,-inf,-1,True
ABEMX,Aberdeen Emerging Markets Fund;Institutional,,-inf,-inf,-3.17,13.85,10.3,5.89,-inf,-1,False
AEMSX,Aberdeen Emerging Markets Fund;Inst Svc,,-inf,-inf,-3.21,13.72,10.17,5.71,-inf,-1,False
GIGAX,Aberdeen Emerging Markets Sustainable Ldrs Fund;A,,-inf,-inf,-4.38,12.56,8.3,5.02,-inf,-1,False
GIGCX,Aberdeen Emerging Markets Sustainable Ldrs Fund;C,,-inf,-inf,-4.97,11.85,7.61,4.31,-inf,-1,False
GIRRX,Aberdeen Emerging Markets Sustainable Ldrs Fund;R,,-inf,-inf,-4.67,12.23,8.02,4.73,-inf,-1,False
GIGIX,Aberdeen Emerging Markets Sustainable Ldrs Fund;I,,-inf,-inf,-4.08,12.96,8.71,5.37,-inf,-1,False
GIGSX,Aberdeen Emerging Markets Sustainable Ldrs Fund;IS,,-inf,-inf,-4.1,12.94,8.67,5.29,-inf,-1,False
CUGAX,Aberdeen Global Absolute Return Strategies Fund;A,,-inf,-inf,-1.81,3.23,2.42,1.74,-inf,-1,False
CGBCX,Aberdeen Global Absolute Return Strategies Fund;C,,-inf,-inf,-2.45,2.53,1.71,1.02,-inf,-1,False
AGCIX,Aberdeen Global Absolute Return Strategies Fund;Institutional,,-inf,-inf,-1.5,3.5,2.68,2.02,-inf,-1,False
CGFIX,Aberdeen Global Absolute Return Strategies Fund;IS,,-inf,-inf,-1.65,3.44,2.61,1.89,-inf,-1,False
GLLAX,Aberdeen Global Equity Fund;A,nan,15.05,-inf,20.33,19.93,12.95,8.44,-inf,1,False
GLLCX,Aberdeen Global Equity Fund;C,nan,14.35,-inf,19.56,19.17,12.21,7.74,-inf,1,False
GWLRX,Aberdeen Global Equity Fund;R,nan,14.7,-inf,19.89,19.5,12.52,8.1,-inf,1,False
GWLIX,Aberdeen Global Equity Fund;Institutional,nan,15.4,-inf,20.74,20.36,13.29,8.8,-inf,1,False
GLLSX,Aberdeen Global Equity Fund;Institutional Service,nan,15.33,-inf,20.61,20.23,13.22,8.77,-inf,1,False
AIAFX,Aberdeen Global Infrastructure Fund;A,,-inf,-inf,13.49,13.62,10.34,N/A,-inf,-1,True
NTFAX,Aberdeen Intmdt Muni Income Fund;A,Muni National Interm,1.85,-inf,2.21,3.65,2.94,2.64,-inf,3,False
GTICX,Aberdeen Intmdt Muni Income Fund;C,Muni National Interm,1.22,-inf,1.57,2.93,2.21,1.89,-inf,1,False
EGALX,Aberdeen International Real Estate Equity Fund;A,,-inf,-inf,2.41,6.22,5.34,N/A,-inf,-1,True
EGLRX,Aberdeen International Real Estate Equity Fund;Institutional,Global Real Estate,0.3,-inf,2.68,6.47,5.61,4.0,-inf,2,False
CPVCX,Aberdeen International Small Cap Fund;C,Foreign Small/Mid Growth,13.53,-inf,16.12,21.24,15.7,11.68,-inf,3,False
AIAGX,Aberdeen Realty Income & Growth Fund;A,,-inf,-inf,36.8,16.62,10.18,N/A,-inf,-1,False
AIGYX,Aberdeen Realty Income & Growth Fund;Institutional,Real Estate,29.18,-inf,37.12,16.9,10.48,11.3,-inf,3,False
ATOAX,Aberdeen Ultra Short Municipal Income Fund;A,,-inf,-inf,-0.08,0.62,0.74,0.54,-inf,-1,False
ATOIX,Aberdeen Ultra Short Municipal Income Fund;Institutional,Muni National Short,0.06,-inf,0.07,0.81,0.97,0.78,-inf,2,False
GSXAX,Aberdeen US Small Cap Equity Fund;A,Small Growth,28.96,-inf,27.07,27.88,13.57,16.1,-inf,3,False
GSXCX,Aberdeen US Small Cap Equity Fund;C,Small Growth,28.18,-inf,26.26,27.04,12.8,15.3,-inf,3,False
GNSRX,Aberdeen US Small Cap Equity Fund;R,Small Growth,28.61,-inf,26.73,27.47,13.19,15.77,-inf,3,False
GSXIX,Aberdeen US Small Cap Equity Fund;Institutional Service,Small Growth,29.25,-inf,27.37,28.22,13.86,16.42,-inf,3,False
GSCIX,Aberdeen US Small Cap Equity Fund;Institutional,Small Growth,29.36,-inf,27.52,28.32,13.93,16.47,-inf,3,False
GXXAX,Aberdeen US Sustainable Leaders Fund;A,Large Growth,21.91,-inf,23.73,29.33,18.17,14.88,-inf,2,False
GXXCX,Aberdeen US Sustainable Leaders Fund;C,Large Growth,21.07,-inf,22.75,28.41,17.31,14.05,-inf,2,False
GGLIX,Aberdeen US Sustainable Leaders Fund;Inst,Large Growth,22.27,-inf,24.05,29.72,18.5,15.23,-inf,2,False
GXXIX,Aberdeen US Sustainable Leaders Fund;Inst Svc,Large Growth,22.19,-inf,23.98,29.63,18.42,15.13,-inf,2,False
AGD,Aberdeen Global Dynamic Dividend Fund,,-inf,-inf,N/A,N/A,N/A,N/A,-inf,-1,True
FCO,Aberdeen Global Income Fund Inc.,,-inf,-inf,N/A,N/A,N/A,N/A,-inf,-1,True
AWP,Aberdeen Global Premier Properties Fund,,-inf,-inf,N/A,N/A,N/A,N/A,-inf,-1,True
ACP,Aberdeen Income Credit Strategies Fund,,-inf,-inf,N/A,N/A,N/A,N/A,-inf,-1,True
JETAX,Aberdeen Global Equity Impact Fund;A,nan,11.99,-inf,13.52,22.75,14.61,8.3,-inf,2,False
JETIX,Aberdeen Global Equity Impact Fund;I,nan,12.25,-inf,13.74,23.07,14.89,8.58,-inf,2,False
BJBHX,Aberdeen Global High Income Fund;A,High Yield Bond,2.15,-inf,3.76,7.51,5.45,5.11,-inf,2,False
JHYIX,Aberdeen Global High Income Fund;I,High Yield Bond,2.39,-inf,4.08,7.76,5.71,5.38,-inf,3,False
BJBIX,Aberdeen International Sustainable Leaders Fund;A,Foreign Large Blend,6.4,-inf,9.58,16.06,11.17,6.56,-inf,3,False
JIEIX,Aberdeen International Sustainable Leaders Fund;I,Foreign Large Blend,6.63,-inf,9.83,16.34,11.45,6.82,-inf,3,False
JEQ,Aberdeen Japan Equity Fund Inc.,,-inf,-inf,N/A,N/A,N/A,N/A,-inf,-1,True
ASGI,Aberdeen Standard Global Infrastructure Income Fund,,-inf,-inf,0,0,0,0,-inf,-1,False
SGOL,Aberdeen Standard Physical Gold Shares ETF,,-inf,-inf,0,0,0,0,-inf,-1,False
PALL,Aberdeen Standard Physical Palladium Shares ETF,,-inf,-inf,0,0,0,0,-inf,-1,False
PPLT,Aberdeen Standard Physical Platinum Shares ETF,,-inf,-inf,0,0,0,0,-inf,-1,False
GLTR,Aberdeen Standard Physical Precious Metals Basket Shares ETF,,-inf,-inf,0,0,0,0,-inf,-1,False
SIVR,Aberdeen Standard Physical Silver Shares ETF,,-inf,-inf,0,0,0,0,-inf,-1,False
AOD,Aberdeen Total Dynamic Dividend Fund,,-inf,-inf,N/A,N/A,N/A,N/A,-inf,-1,True
BCD,abrdn Bloomberg All Commodity Longer Dated Strategy K-1 Free ETF,,-inf,-inf,0,0,0,0,-inf,-1,False
BCI,abrdn Bloomberg All Commodity Strategy K-1 Free ETF,,-inf,-inf,0,0,0,0,-inf,-1,False
BCIM,abrdn Bloomberg Industrial Metals Strategy K-1 Free ETF,,-inf,-inf,0,0,0,0,-inf,-1,False
WBII,WBI BullBear Global Income ETF,,-inf,-inf,0,0,0,0,-inf,-1,False
WBIL,WBI BullBear Quality 3000 ETF,,-inf,-inf,0,0,0,0,-inf,-1,False
